timestamp,client_id,kyber_keygen_time,kyber_encap_time,kyber_decap_time,dilithium_sign_time,dilithium_verify_time,aes_encryption_time,total_handshake_time
1772863297.9668684,test_client_0,0.0002355999995415914,0.0005025999998906627,0.0007921999995232909,0.0029346999999688705,0.0012737999995806604,8.890000026440248e-05,2.4360706000006758
1772863306.6372678,concurrent_client_1,0.00014620000001741573,0.0005542999997487641,0.00021830000059708254,0.004020200000013574,0.0008350999996764585,2.8499999643827323e-05,7.388092599999254
1772863306.6519473,concurrent_client_3,0.00014180000016494887,0.0007830000004105386,0.0005073000002084882,0.0008841999997457606,0.000571700000364217,4.189999981463188e-05,4.9028958999997485
1772863306.6640604,concurrent_client_4,0.00014569999984814785,0.0003764000002774992,0.0003280000000813743,0.0025492000004305737,0.0005939000002399553,1.9299999621580355e-05,3.6116228000000774
1772863306.6695304,concurrent_client_2,0.00013970000054541742,0.0002902999995058053,0.0002168000000892789,0.0025311999997938983,0.0005956000004516682,2.480000057403231e-05,6.170885100000305
1772863306.675349,concurrent_client_5,0.00017279999974562088,0.00040360000002692686,0.00022009999975125538,0.0015217000000120606,0.0005978999997751089,2.6499999876250513e-05,2.311936100000821
1772863332.4673166,test_client_0,0.0002243999997517676,0.0004947999996147701,0.00039930000002641464,0.001860800000031304,0.0005664999998771236,4.640000042854808e-05,2.1013794999998936
1772863342.7893696,concurrent_client_2,0.00015069999972183723,0.00036329999966255855,0.0004472999999052263,0.01881180000054883,0.0008140999998431653,2.0500000573520083e-05,7.445449699999699
1772863342.8014338,concurrent_client_1,0.00019100000008620555,0.00036899999940942507,0.0006604999998671701,0.007796300000336487,0.0008434999999735737,2.7600000066740904e-05,8.971805799999856
1772863342.818455,concurrent_client_3,0.00022819999958301196,0.0004445000004125177,0.0003119000002698158,0.010305100000550738,0.0005655000004480826,2.3699999474047218e-05,5.777438099999927
